#lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name
72.62 41.06 11 28 63 221 65 103 3.070 23 200904262354A
72.35 42.90 239 47 62 98 50 117 4.520 23 200904272004A
71.26 41.62 223 42 82 54 49 97 1.832 23 200904291853A
77.62 36.28 252 44 71 97 49 107 5.519 23 200905211233A
81.82 32.79 211 70 -13 305 78 -160 3.496 23 200906040254A
86.43 30.99 218 76 -9 311 81 -166 3.210 23 200906060944A
78.83 44.77 276 53 133 39 55 48 1.597 24 200906131717A
90.31 36.05 349 85 -175 259 85 -5 3.146 23 200906210446A
73.47 39.66 35 84 1 305 89 174 6.775 23 200907010029A
71.52 37.40 309 49 5 215 86 139 3.728 23 200907022350A
71.03 36.43 239 30 144 1 73 65 1.026 24 200907050945A
86.10 31.05 318 74 -172 226 83 -16 6.356 24 200907240311A
73.01 34.93 338 34 130 113 65 67 4.048 23 200907270623A
81.58 35.76 226 43 -8 322 84 -133 4.979 23 200908090402A
94.77 24.25 119 45 139 241 62 53 2.130 24 200908112143A
70.50 39.09 83 79 178 174 88 11 2.408 23 200908260726A
95.76 37.64 295 31 102 101 60 83 3.038 25 200908280152A
95.76 37.75 56 80 -3 147 87 -170 3.711 23 200908281628A
95.57 37.66 272 45 118 55 51 64 1.463 24 200908301715A
95.06 25.13 261 52 32 150 65 138 1.014 24 200908301927A
95.86 37.59 277 33 90 98 57 90 5.621 24 200908311015A
95.93 37.62 107 45 94 281 45 86 2.095 23 200908312227A
94.73 24.29 144 46 152 255 70 48 0.877 25 200909031951A
95.85 37.63 282 35 99 91 55 84 1.665 23 200909100020A
70.61 36.46 289 18 90 108 72 90 5.191 23 200909190417A
91.63 27.20 281 6 94 97 84 90 1.855 25 200909210853A
94.87 20.14 227 33 2 136 89 123 4.256 24 200909211938A
95.90 35.82 178 61 178 269 88 29 2.140 23 200909280243A
83.55 30.56 36 56 -31 144 65 -142 4.014 23 200909290601A
96.12 39.62 194 82 180 284 90 8 4.359 23 200910021349A
70.71 38.76 47 86 3 317 87 176 4.320 23 200910131247A
77.03 39.90 284 32 116 74 62 75 4.050 23 200910160256A
92.34 35.17 309 79 179 40 89 11 3.240 23 200910161929A
70.82 36.51 83 41 99 252 49 82 2.064 25 200910221951A
80.25 34.94 353 62 178 84 88 28 3.859 23 200910251140A
91.62 27.20 293 7 107 96 83 88 5.981 23 200910291700A
70.66 36.39 282 25 75 119 66 97 2.812 25 200910291744A
95.83 37.65 313 52 151 62 68 42 4.978 23 200911042156A
86.28 29.31 178 43 -92 0 47 -88 2.465 24 200911072009A
83.71 30.60 115 46 -136 351 60 -53 4.616 23 200911200716A
81.38 35.39 222 49 -4 314 87 -139 3.038 23 200911260014A
77.23 35.72 348 19 158 99 83 73 8.071 23 200912060433A
91.74 21.87 345 40 94 160 51 87 2.802 23 200912131441A
96.68 37.57 122 43 112 273 51 71 4.171 23 200912210515A
94.84 24.31 124 41 143 244 66 55 3.604 24 200912290901A
83.91 30.43 207 71 10 114 81 161 7.634 23 201001010222A
71.41 38.40 232 58 -24 336 70 -146 1.723 24 201001020215A
88.25 35.66 324 84 179 54 89 6 2.666 23 201001160544A
94.63 23.14 231 46 67 83 49 112 2.276 23 201002202107A
91.30 35.30 343 85 176 74 86 5 2.357 23 201002231213A
86.77 28.41 12 69 -16 108 75 -158 6.068 23 201002260442A
75.74 42.54 199 38 -13 299 82 -128 5.007 23 201003020155A
86.94 36.47 160 83 179 250 89 7 5.767 23 201003101432A
94.62 22.99 103 32 142 227 71 64 2.183 24 201003122319A
82.00 30.53 297 71 -165 202 76 -19 2.965 23 201003152017A
99.99 21.47 234 63 -19 332 74 -152 2.440 23 201003191953A
74.66 37.50 25 58 -31 132 64 -144 6.109 23 201003231502A
74.70 37.65 212 61 -11 307 80 -151 3.496 23 201003231551A
92.89 32.37 162 74 -171 70 81 -16 4.502 24 201003240206A
92.92 32.37 157 80 -173 66 83 -10 1.835 24 201003240244A
96.71 33.08 209 71 -171 116 81 -19 2.827 23 201004132140A
96.79 33.05 210 67 178 300 88 23 2.534 26 201004132349A
96.53 33.18 296 65 2 205 89 155 1.584 25 201004140125A
92.84 32.38 168 67 -162 70 73 -24 1.086 24 201004170059A
96.60 33.12 182 79 178 273 89 11 2.389 23 201004281648A
96.28 33.20 75 88 1 345 89 178 5.597 24 201005290230A
99.24 24.84 342 60 -154 238 67 -33 2.532 23 201006011558A
96.28 33.23 178 80 177 268 87 10 2.006 24 201006030535A
96.25 33.24 171 82 -173 80 83 -8 6.390 23 201006032047A
96.27 33.18 262 78 5 171 85 168 2.433 23 201006061642A
74.93 39.75 261 35 99 70 55 84 0.755 24 201006100638A
80.33 29.55 318 25 140 85 74 71 3.726 23 201007061908A
71.23 36.65 255 25 163 0 83 66 4.425 23 201008240834A
73.98 39.58 312 83 177 43 87 7 1.630 24 201009071541A
96.30 33.22 178 84 -178 88 88 -6 5.087 23 201009072051A
90.74 23.29 149 77 171 241 82 13 5.050 23 201009101724A
70.79 36.44 261 32 117 50 61 74 2.960 25 201009171921A
70.81 36.38 287 43 117 72 52 67 1.106 24 201010280359A
87.61 36.82 141 85 180 231 90 5 0.732 24 201011060212A
70.64 36.59 232 22 75 68 68 96 7.870 23 201011102041A
70.51 34.46 265 33 111 60 59 77 0.821 24 201011150051A
72.91 38.47 89 49 -163 348 78 -42 4.509 23 201011250927A
90.53 29.78 199 49 -59 336 50 -121 1.149 24 201011300839A
72.77 39.41 178 73 3 87 87 163 2.142 24 201012080821A
70.62 31.48 162 16 52 21 77 100 1.511 24 201012092317A
86.73 30.92 158 35 -116 9 59 -73 5.359 23 201012291831A
75.16 39.44 263 44 79 98 47 100 3.096 23 201101010156A
72.78 38.50 126 44 -167 27 81 -47 1.545 25 201101240245A
94.68 24.46 256 52 36 142 62 136 3.092 25 201102041353A
94.02 45.97 95 79 -8 187 82 -169 4.258 23 201102231710A
97.98 24.64 64 79 5 333 85 169 1.948 24 201103100458A
78.90 40.39 224 41 37 104 67 125 2.907 23 201103171534A
70.73 36.47 292 32 134 63 67 67 6.327 24 201103210949A
76.51 36.13 282 43 100 89 48 81 2.109 23 201103230555A
99.90 20.61 347 72 168 80 79 18 4.006 24 201103241554A
99.95 20.60 8 63 166 104 78 28 4.139 23 201103250022A
80.71 29.43 318 30 128 96 67 70 1.562 24 201104041131A
89.72 34.33 5 42 -108 209 50 -74 2.954 23 201104191627A
77.73 43.72 129 21 149 248 79 72 6.470 23 201105010231A
70.92 36.78 139 27 48 4 71 108 3.948 23 201105132139A
70.62 36.45 281 21 72 121 70 97 1.182 25 201105142107A
88.28 43.03 279 32 104 82 59 81 4.968 23 201106080153B
98.80 25.00 271 44 82 103 46 98 4.241 23 201106201016A
95.98 32.33 182 63 -149 77 63 -31 1.025 24 201106260748A
71.36 40.28 72 24 75 269 67 97 2.121 25 201107191935A
87.77 33.75 319 81 -177 229 87 -9 1.148 24 201108011940A
98.73 24.98 251 86 1 161 89 176 6.106 23 201108091150A
77.22 39.86 272 42 109 67 50 74 3.180 24 201108111006A
70.57 36.48 286 20 91 105 70 90 1.253 24 201108262032A
70.45 39.00 345 61 24 243 69 149 2.578 23 201109081946A
82.46 36.45 335 82 -179 245 89 -8 1.289 24 201109151527A
88.35 27.44 216 72 -12 310 79 -162 2.779 26 201109181240A
82.70 44.45 102 46 123 238 53 60 2.211 23 201110161344A
70.44 20.98 330 62 -172 236 83 -29 5.655 23 201110201718A
81.57 35.63 228 72 -19 324 72 -161 3.472 23 201110202053A
82.41 43.55 268 26 91 87 64 90 2.648 24 201111010021A
71.09 36.23 282 27 111 79 65 80 2.703 23 201111031134A
71.02 36.59 161 36 88 343 54 91 4.107 24 201111071159A
95.19 24.82 143 48 118 284 49 62 5.633 24 201111210315A
97.67 25.09 20 81 -177 289 87 -9 6.869 23 201111281506A
83.80 31.57 329 84 -176 239 86 -6 6.067 23 201112010350A
76.89 38.54 52 37 33 294 71 123 2.911 23 201112011248A
92.88 32.42 333 82 -177 243 87 -8 2.493 23 201112051855A
86.54 31.76 337 75 -169 244 79 -15 2.399 23 201112222342A
87.52 42.13 130 38 87 313 52 92 2.858 23 201201080620A
70.22 35.94 272 36 92 89 54 88 1.946 23 201201132250A
74.76 41.59 79 40 107 238 52 76 2.498 23 201202050710A
93.12 44.99 352 76 -179 261 89 -14 4.510 23 201202091857A
82.92 32.32 118 70 172 210 83 20 1.349 24 201202171544A
79.64 35.80 239 78 -11 331 79 -168 3.130 23 201202201359A
79.65 35.76 238 77 -11 331 79 -167 6.189 23 201202201418A
74.41 39.72 179 26 -150 62 77 -67 2.892 23 201203021340A
81.47 39.49 132 46 128 264 55 58 7.527 24 201203082250A
73.24 36.88 212 53 -35 324 63 -137 4.289 24 201203120606A
82.59 34.49 223 83 6 133 84 173 0.709 24 201204100808A
70.50 36.30 352 39 15 250 81 128 3.498 23 201205030642A
98.58 40.66 69 73 -11 162 80 -163 7.882 23 201205031019A
93.03 26.18 67 83 7 336 84 173 1.496 24 201205111241A
89.46 38.41 345 55 170 81 82 36 1.973 23 201205120134A
70.21 38.69 62 34 139 187 69 63 4.497 24 201205122328A
87.08 33.65 9 39 -96 197 51 -85 2.670 23 201205191402A
83.57 30.67 214 50 -20 317 75 -138 2.367 23 201205272050A
78.78 43.58 73 37 80 265 54 97 1.541 24 201205302120A
75.32 39.82 158 48 36 42 64 132 4.809 23 201206011232A
84.21 42.21 249 44 75 89 47 104 1.030 24 201206142151A
70.24 23.52 103 64 -179 13 89 -26 6.277 23 201206192014A
84.72 43.42 298 60 160 39 73 32 3.907 25 201206292107A
94.73 25.60 147 78 176 238 86 12 3.188 24 201207010413A
88.30 29.84 179 40 -84 351 50 -95 2.407 23 201207031912A
96.66 25.29 220 82 -173 129 84 -8 6.331 23 201207092013A
70.76 36.47 73 28 77 268 63 97 5.597 24 201207121400A
94.45 25.40 253 69 11 159 80 158 1.142 24 201207141955A
71.19 37.12 273 36 85 99 55 94 3.758 24 201207190736A
96.43 24.86 95 77 -7 187 83 -167 5.754 23 201207220211A
88.32 29.93 200 31 -47 332 68 -112 3.741 23 201207221644A
87.28 36.09 66 83 -2 157 88 -173 6.435 23 201207222030A
73.93 38.27 341 20 -44 114 76 -104 1.120 24 201207260106A
94.32 22.83 174 65 -175 82 85 -25 5.462 24 201207290221A
75.56 39.63 226 22 65 74 71 100 4.050 23 201208010952A
78.15 39.96 255 43 84 82 47 95 1.170 24 201208110934A
82.52 35.88 215 47 -52 346 55 -123 2.548 25 201208121047A
73.75 34.88 239 38 136 7 65 61 4.330 23 201208132033A
82.65 28.05 307 21 102 114 69 85 3.557 23 201208231630A
89.79 35.17 65 76 -10 157 80 -166 4.064 23 201208260518A
99.30 24.69 349 45 -136 224 60 -55 3.279 23 201209110321A
71.36 36.76 223 35 125 2 62 68 3.808 23 201209121929A
82.44 43.74 267 39 96 80 52 85 2.679 23 201209140321A
96.89 25.49 218 61 -166 122 78 -30 1.444 23 201209222042A
92.95 26.78 89 53 44 329 56 134 2.518 23 201210021837A
98.05 46.81 359 67 -171 265 82 -23 2.359 23 201210032223A
96.03 22.73 0 55 178 91 88 35 2.363 26 201211110112A
96.05 22.60 91 75 14 358 77 164 8.317 24 201211111054A
96.07 23.06 358 71 167 93 78 20 2.949 24 201211111819A
95.98 22.83 0 60 174 93 85 30 2.752 23 201211131828A
96.10 22.94 0 72 174 92 84 18 2.036 23 201211191726A
90.54 40.62 41 51 44 280 57 131 5.129 23 201211260533A
96.06 23.09 360 67 -174 268 84 -23 1.969 23 201212031155A
74.11 38.12 137 39 142 258 67 58 3.275 23 201212081009A
94.80 22.29 149 37 159 256 78 55 2.159 24 201212221641A
95.87 22.77 1 60 171 95 82 30 3.659 23 201212261359A
70.43 35.57 291 36 136 60 66 63 2.860 24 201212291750A
71.08 36.13 20 46 45 255 60 126 2.917 23 201301050432A
94.95 25.09 288 41 67 137 53 109 7.049 24 201301090141A
99.55 30.95 208 86 179 298 89 4 2.895 24 201301181242A
87.75 49.80 301 66 178 32 88 24 7.562 23 201301240735A
79.76 42.57 148 81 178 238 88 9 2.376 25 201301281638A
94.86 32.86 176 81 -173 85 83 -9 9.134 23 201301300927A
94.84 32.86 342 87 -178 252 88 -3 2.826 23 201302041204A
92.41 38.56 319 40 97 130 51 84 3.313 23 201302111913A
71.36 36.48 87 63 167 183 79 28 5.357 23 201302170135A
85.63 34.30 320 75 -172 227 82 -15 2.948 24 201302250511A
92.28 24.56 332 37 147 89 71 58 0.905 24 201303020130A
71.50 38.64 135 87 178 225 88 3 4.917 23 201303030312A
99.84 25.94 337 42 -113 187 52 -71 1.442 24 201303030541A
77.52 40.22 210 11 50 71 81 97 6.763 23 201303110301A
86.96 43.52 167 51 -177 75 88 -39 1.859 24 201303290501A
96.07 22.94 3 75 -180 273 90 -15 7.705 23 201303302004A
70.97 36.40 262 34 129 38 64 67 1.611 24 201304040631A
71.23 36.32 267 35 88 89 55 91 1.363 24 201304052255A
95.12 28.67 300 39 90 120 51 90 3.262 23 201304160834A
99.91 26.14 332 52 -131 206 54 -50 1.256 24 201304170146A
70.45 34.41 200 46 153 310 71 47 2.410 24 201304240925A
75.60 33.02 328 23 113 124 69 81 3.377 24 201305010657A
86.55 31.25 57 50 -37 173 63 -134 7.235 23 201305151054A
86.52 31.26 53 37 -34 171 70 -122 6.405 23 201305160334A
70.25 36.49 173 14 11 72 87 104 2.705 23 201305201718A
95.78 37.62 266 35 80 98 56 97 6.182 23 201306050043A
73.24 37.00 142 41 -116 355 54 -69 2.180 23 201306212051A
82.18 28.49 294 26 95 109 64 88 3.845 23 201306281140A
73.47 39.26 193 79 7 101 84 169 4.147 23 201306300459A
92.82 33.10 4 42 -122 224 56 -65 1.982 23 201307020028A
70.29 36.49 353 44 159 98 76 48 8.260 23 201307030704A
78.17 32.51 175 33 -82 345 58 -95 2.968 23 201307091349A
94.30 21.89 283 47 39 164 63 130 2.199 23 201307200914A
70.47 36.50 143 28 146 264 75 66 5.403 23 201307290808A
75.95 33.09 327 42 122 106 55 64 6.210 23 201308020232A
94.82 23.74 235 36 40 111 68 119 3.193 23 201308021204A
75.71 33.10 319 28 124 101 67 73 5.015 23 201308022137A
86.51 31.27 32 41 -65 180 53 -110 0.977 24 201308061531A
86.55 31.28 349 44 -127 215 57 -60 3.221 23 201308061613A
97.96 29.99 205 46 -141 86 63 -51 1.618 23 201308111240A
97.95 30.02 90 54 -40 206 58 -137 6.110 24 201308112123B
97.89 29.95 215 51 -128 86 52 -52 3.739 23 201308112348A
97.94 30.02 84 49 -49 211 55 -128 6.268 23 201308112358A
98.02 30.04 199 61 -158 98 71 -31 5.863 23 201308120809A
71.62 37.28 38 70 -6 130 84 -160 2.192 23 201308240235A
71.70 37.26 126 79 176 217 86 11 2.353 23 201308241656A
94.18 33.17 177 65 -163 80 74 -26 2.240 23 201308261435A
99.50 28.14 66 50 -125 294 51 -55 6.985 23 201308272044A
99.35 28.12 104 42 -83 274 48 -96 1.899 23 201308272353A
87.64 43.79 122 3 117 275 87 88 1.040 24 201308300527A
99.40 28.15 97 42 -95 284 48 -85 4.406 24 201308310004A
99.29 28.20 131 43 -71 286 50 -107 4.495 23 201308310027A
99.38 28.11 275 44 -105 115 48 -76 2.351 23 201309031432A
99.33 28.18 270 48 -120 131 50 -61 2.549 23 201309061504A
70.02 36.55 230 15 42 100 80 101 8.062 23 201309081730A
96.05 22.91 3 68 179 93 90 22 3.281 23 201309090328A
96.04 22.81 360 77 175 91 85 13 3.582 23 201309201153A
96.04 22.88 95 74 14 1 77 164 4.079 24 201309201224A
88.79 27.17 304 37 123 85 59 67 2.857 23 201310030612A
71.07 36.83 26 48 20 283 75 137 6.362 23 201310050027A
70.56 36.42 285 25 115 79 68 79 1.048 24 201310130117A
77.26 35.74 318 22 152 74 80 70 4.579 23 201310201945A
76.95 35.44 3 63 -160 264 72 -28 2.799 24 201310210227A
88.13 35.55 138 82 -177 48 87 -8 5.108 23 201311030702A
93.74 26.39 66 56 20 324 73 145 1.016 24 201311060416A
88.18 35.62 222 87 2 131 88 177 2.890 23 201311180743A
86.80 36.75 73 83 6 343 84 173 3.942 24 201311232330A
71.17 36.92 149 80 173 240 83 10 3.672 23 201311290625A
78.98 40.32 243 35 82 72 55 95 0.971 24 201312010834A
73.14 36.72 294 73 163 29 74 18 1.824 23 201312051811A
89.30 33.96 48 44 -48 177 59 -123 5.260 23 201312111614A
71.23 36.43 358 41 42 233 64 123 2.900 23 201312211421A
73.83 38.33 54 28 78 248 63 97 2.844 23 201312241240A
90.38 31.86 326 80 -177 235 87 -10 4.836 23 201401161747A
93.84 33.01 64 61 -6 156 85 -151 1.869 23 201401191533A
96.01 22.78 1 70 -174 269 85 -20 4.960 23 201401261238A
94.08 23.71 249 60 0 339 90 -150 5.094 23 201401291346A
89.24 33.81 46 47 -58 183 52 -120 0.904 24 201402110115A
82.52 36.16 223 76 3 132 87 166 1.230 24 201402110214A
82.57 36.22 332 85 -176 242 86 -5 2.875 26 201402120919A
82.33 36.09 230 74 -15 325 76 -163 2.362 23 201402130008A
91.20 31.55 9 41 -101 203 50 -80 1.883 23 201403070841A
82.35 36.23 218 47 -26 326 71 -134 8.020 23 201403221258A
71.09 37.16 240 41 62 95 55 112 3.343 23 201403281024A
86.53 31.25 48 45 -43 171 61 -126 1.351 24 201403301710A
94.25 43.14 160 43 118 304 53 66 3.868 23 201404300620A
97.90 24.96 334 85 178 64 88 5 4.850 24 201405232049A
97.90 24.93 82 79 5 351 85 169 8.987 24 201405300120A
89.26 34.15 322 73 -179 231 89 -17 1.274 23 201406060016A
70.62 36.48 288 19 74 125 72 96 3.229 24 201406140358A
78.23 39.40 359 74 -177 269 87 -16 4.612 23 201407082152A
70.78 36.13 288 36 151 42 73 58 3.095 23 201407110414A
71.15 36.93 129 51 148 241 66 44 1.112 24 201407190717A
85.57 29.00 202 42 -62 346 54 -113 0.909 24 201408030557A
77.29 43.19 58 23 64 266 69 101 2.348 23 201408152142A
94.76 24.66 141 61 155 243 69 32 3.211 23 201408161639A
71.30 39.17 92 61 156 195 69 31 2.981 23 201408290104A
70.87 36.54 76 32 74 274 60 100 1.073 24 201408311148A
93.14 21.98 118 81 6 27 84 171 1.802 24 201409090928A
72.08 37.77 132 77 -170 40 80 -13 4.186 23 201409130157A
70.50 35.84 259 31 103 64 60 82 7.453 23 201409132231A
97.85 36.52 107 35 82 296 56 95 0.806 24 201410021556A
77.22 42.21 77 42 102 240 49 79 1.556 24 201411140124A
94.44 20.78 97 23 -156 345 81 -69 1.162 24 201411170434A
72.97 38.18 338 61 -14 74 78 -150 2.949 23 201411180037A
93.46 23.49 157 56 -150 49 66 -37 4.061 24 201411201814A
70.89 36.51 138 23 75 335 68 97 0.952 24 201411210858A
70.68 36.42 286 21 146 48 78 72 2.777 23 201412181214A
86.56 27.46 248 26 44 117 72 110 3.428 23 201412181532A
94.76 24.30 152 68 157 252 68 24 5.959 23 201412210537A
71.68 37.40 209 40 -103 45 51 -79 1.662 23 201501031246A
77.21 40.19 227 17 57 81 76 99 5.141 23 201501100651A
95.21 25.01 251 54 36 138 61 138 1.809 23 201501241611A
83.58 32.96 215 84 2 125 88 174 1.629 24 201502041044A
93.93 23.97 170 75 -174 78 84 -15 4.725 23 201502121433A
85.50 44.11 262 39 64 114 56 110 3.506 23 201502220642A
73.28 34.57 301 37 87 125 53 92 5.285 23 201502262159A
99.04 23.49 69 66 9 336 82 156 0.962 24 201503011024A
71.36 36.55 48 32 113 202 61 76 2.780 23 201503211744A
71.14 36.40 283 37 128 58 61 65 1.778 23 201503250641A
83.52 32.88 223 77 -5 314 86 -167 0.732 24 201504070442A
71.08 36.45 49 42 72 253 51 106 1.830 23 201504130927A
82.35 28.65 118 44 66 330 50 112 4.056 23 201504211402A
85.33 27.91 287 6 96 101 84 89 8.386 27 201504250611A
84.93 27.86 308 23 131 85 73 74 1.240 26 201504250645A
85.89 28.06 339 40 -105 178 52 -78 1.017 24 201504251742A
84.96 27.61 201 40 -20 306 77 -129 6.664 23 201504252316A
85.95 27.56 289 14 98 101 76 88 1.390 26 201504260709A
85.90 27.56 305 26 115 98 66 78 7.685 23 201504261626A
88.27 26.66 154 57 -157 52 71 -35 4.794 23 201504271235A
71.95 37.26 97 32 94 273 58 88 2.401 23 201504280503A
86.08 27.67 307 11 117 99 81 85 8.844 26 201505120705A
86.35 27.37 299 28 116 90 65 77 1.963 25 201505120736A
86.26 27.37 324 34 138 91 68 63 1.329 24 201505161134A
91.13 34.67 30 35 -95 216 55 -86 1.071 23 201505300004A
70.31 36.18 257 36 76 94 55 100 2.349 23 201506011441A
73.30 38.47 111 67 -165 15 76 -24 2.056 23 201506241710A
88.31 41.79 330 36 99 139 55 83 5.160 23 201506241912A
90.59 26.38 234 78 11 142 79 167 1.213 24 201506280105A
71.13 36.68 228 36 95 41 54 86 2.130 24 201506292207A
78.14 37.58 109 22 85 294 68 92 5.334 25 201507030107A
72.61 39.18 43 70 -15 138 76 -159 2.462 23 201507131825A
73.21 33.92 148 82 6 58 84 172 4.617 23 201507242059A
71.00 36.53 96 30 102 262 61 83 2.212 23 201508041644A
81.53 35.95 221 50 -48 347 55 -128 2.257 23 201508052104A
71.03 36.46 271 33 112 64 59 76 0.926 25 201508101005A
73.69 38.28 335 25 -30 93 78 -112 1.848 23 201508311613A
70.46 36.01 192 35 31 76 72 121 0.940 24 201509092103A
98.23 34.33 288 81 5 197 85 171 7.614 23 201510121004A
70.33 29.49 32 34 96 205 56 86 3.337 24 201510230027A
70.42 36.55 279 21 85 104 69 92 2.241 27 201510260909A
99.57 24.98 177 45 -118 35 51 -64 3.347 23 201510301126A
73.07 40.44 90 40 134 218 62 59 2.636 24 201511171729A
71.32 36.45 2 39 67 211 55 108 5.501 24 201511221816A
94.99 22.38 92 37 38 330 69 121 1.612 24 201511270833A
72.91 38.39 212 80 -7 304 83 -170 0.763 27 201512070750A
81.60 29.04 314 34 118 102 60 72 0.940 24 201512182216A
71.06 36.46 234 43 79 69 48 100 3.799 25 201512251914A
70.75 36.49 292 31 144 54 72 64 1.081 24 201601020837A
93.47 24.71 338 49 165 78 78 42 1.505 26 201601032305A
70.82 36.51 79 54 2 348 89 144 8.867 23 201601080907A
70.87 36.59 137 7 52 355 85 94 4.245 24 201601122005A
91.73 32.52 72 82 -3 162 87 -172 1.640 24 201601132034A
84.11 42.11 260 31 63 111 62 106 5.532 23 201601132118A
73.21 38.78 139 59 -172 45 83 -32 2.617 23 201601132137A
71.42 36.50 270 48 145 26 65 48 2.821 23 201601230454A
70.80 36.53 173 38 23 64 76 126 0.986 24 201602210912A
95.11 31.86 188 41 -114 39 53 -71 2.578 23 201602230033A
83.90 36.59 58 82 1 328 89 172 1.639 23 201603111444A
72.62 38.04 217 83 4 126 86 173 1.810 24 201603181611A
70.87 36.12 207 31 23 97 78 119 1.650 23 201604080219A
71.16 36.85 248 54 37 134 61 137 2.168 23 201604081430A
71.04 36.44 279 38 106 79 54 78 1.134 26 201604101028A
94.78 23.02 129 39 124 269 59 66 3.167 26 201604131355A
95.08 31.76 185 43 -121 44 54 -64 2.109 23 201604230932A
71.57 37.04 121 46 142 240 64 51 2.951 23 201604242143A
95.12 31.87 197 39 -104 34 53 -79 2.189 24 201605110115A
99.64 26.07 293 86 177 23 87 4 4.320 23 201605171648A
99.63 26.10 14 45 -56 150 54 -119 1.831 23 201605171705A
87.66 28.26 189 41 -66 338 53 -109 2.325 23 201605220132A
87.62 28.22 203 45 -46 329 59 -125 1.291 24 201605220148A
87.60 28.22 175 37 -83 346 53 -95 0.860 24 201605220205A
70.27 36.06 346 24 -170 247 86 -66 3.190 23 201606150902A
70.56 36.40 280 23 108 80 68 83 1.309 24 201606231135A
73.43 39.47 61 28 83 249 62 94 5.787 25 201606261117A
73.29 39.50 81 44 98 249 46 82 1.965 23 201606270625A
73.42 39.50 261 37 82 91 54 96 2.884 23 201606271928B
73.32 39.49 181 70 19 85 72 159 2.108 24 201606282138A
73.46 39.49 60 47 50 291 56 125 2.329 23 201606290808A
70.37 39.04 79 49 146 193 65 47 3.374 23 201607011458A
77.89 39.96 240 32 53 102 65 111 2.178 23 201607091637A
89.77 49.93 240 45 57 102 54 118 2.812 23 201607130645A
79.26 41.58 238 37 94 54 53 87 1.880 23 201607191232A
94.69 21.36 134 52 137 254 57 47 3.402 23 201607270420A
94.87 21.25 210 47 52 79 55 123 4.007 23 201608011001A
86.31 34.37 66 40 -32 182 70 -125 2.264 23 201608110101A
86.23 34.36 57 34 -40 182 69 -117 2.614 23 201608120046A
78.40 40.70 302 33 131 77 66 67 3.937 23 201608121800A
72.55 39.05 210 41 -46 338 62 -121 2.251 23 201608141505A
94.71 23.76 137 52 140 254 59 45 5.866 23 201608230211A
94.58 20.79 338 7 84 164 83 91 1.712 26 201608241034A
82.56 29.85 195 43 -80 2 48 -99 1.835 23 201609100046A
88.06 49.90 64 85 0 154 90 -175 2.282 23 201609200718A
99.78 30.10 281 47 -55 56 53 -122 7.251 23 201609221647A
99.75 30.08 288 47 -61 69 51 -117 7.074 23 201609221723A
73.54 34.82 219 36 91 37 54 89 5.797 23 201610010804A
94.95 32.79 63 59 -33 171 62 -145 1.203 25 201610170714A
71.07 36.43 292 43 139 54 64 55 4.247 23 201610200040A
94.71 22.82 153 46 161 257 76 46 1.798 23 201610260221A
70.70 36.49 259 24 119 48 69 78 1.553 24 201611151602A
96.21 32.59 79 73 1 349 89 163 2.645 23 201611172145A
74.14 39.27 110 78 -177 19 87 -12 1.135 26 201611251424A
74.26 39.26 104 86 179 194 89 4 4.178 23 201611260923A
86.53 27.35 305 24 113 100 67 80 0.899 24 201611272335A
80.38 29.57 315 26 113 110 67 79 2.098 23 201612011652A
92.27 32.27 333 83 174 64 84 7 1.320 24 201612042134A
71.11 36.43 68 40 84 255 51 95 1.723 23 201612080007A
86.32 43.98 87 22 85 272 68 92 1.442 25 201612080515A
90.18 38.70 233 87 1 143 89 177 3.049 23 201612140814A
84.90 37.30 171 80 178 261 88 10 2.645 24 201612201004A
92.03 23.98 64 86 -2 154 88 -176 3.153 24 201701030909A
94.56 23.29 128 59 -178 37 88 -31 3.525 23 201701031849A
83.87 30.43 202 73 15 108 76 163 1.973 23 201701041412A
76.93 38.33 122 26 43 352 72 110 4.668 23 201701200954A
94.07 31.46 160 79 -170 68 80 -11 2.058 23 201701310616A
83.35 30.48 210 43 -54 344 56 -119 7.073 23 201702011007A
78.85 30.41 295 23 102 102 68 85 1.161 24 201702061703A
72.55 38.13 13 52 24 267 71 140 2.607 23 201702150750A
93.52 24.01 75 64 26 333 67 152 4.773 23 201702241202A
71.94 37.62 352 19 13 250 86 109 1.579 24 201702281342A
94.76 25.16 74 74 2 343 88 164 4.366 23 201703040211A
73.47 39.28 14 70 -7 106 84 -160 4.090 23 201703141107A
72.01 37.66 149 79 172 240 82 11 5.377 23 201703221127A
99.82 25.75 321 85 179 51 89 5 4.313 23 201703262340A
99.84 25.82 318 85 179 48 89 5 5.056 23 201703262355A
71.18 36.63 251 29 125 32 67 72 2.927 23 201704040448A
85.08 47.28 28 67 2 297 88 157 0.964 24 201704041507A
70.72 36.52 36 34 65 245 60 106 5.085 23 201704172304A
71.42 39.50 342 61 24 240 69 149 1.291 25 201705030447A
71.34 39.56 13 49 54 241 52 124 2.591 23 201705032003A
71.41 39.51 19 44 69 227 50 109 7.185 24 201705050509A
71.55 36.53 15 29 168 116 84 61 1.109 24 201705060952A
75.40 37.73 184 37 -48 316 64 -117 2.126 24 201705102158A
73.54 39.43 103 77 168 195 79 13 1.445 23 201705220923A
91.25 33.60 29 44 -106 231 48 -75 2.474 23 201706080056A
91.30 33.59 197 41 -124 59 57 -64 2.694 23 201706131938A
