70.00   36.13   285   40     55   147   58    116    7.160   23   070182B
70.86   36.01   105   30     17     0   81    119    1.290   24   070282B
90.65   19.56   240   73      0   330   90   -163    2.680   24   070482D
73.11   37.34   180   46    -69   331   48   -111    1.970   24   092982A
99.61   25.69   146   22   -112   350   69    -81    8.110   23   100882A
82.36   36.07   215   45    -15   315   80   -134    1.390   24   103182C
70.35   34.46   259   28    109    57   63     80    5.050   24   112082A
70.26   36.16    62   25     77   256   66     96   11.880   23   012583C
75.11   39.94   230   60     -7   323   84   -149    2.710   25   021383A
70.16   38.93   216   44     86    42   46     94   10.300   23   022683B
78.15   32.29   192   71     -7   284   83   -160    8.600   23   022783B
70.63   36.99    54   29     26   301   78    116    4.540   23   032383C
94.19   21.86   236   26    -22   345   81   -115    4.530   23   041783B
79.92   35.41   322   58   -151   216   66    -35    4.080   23   053183A
94.69   24.48   297   44     58   158   54    118    6.760   23   082383B
73.87   39.09   212   52      5   119   86    142    5.600   23   082583A
94.90   25.34   161   65    159   260   71     26    4.240   24   083083B
70.69   36.26    64   35    101   231   55     82    1.820   25   091283A
94.37   21.87   109    5   -151   350   87    -85    8.600   23   102183B
71.34   36.34   107   19    145   230   79     74    3.000   24   103083A
90.06   33.97   250   73     -7   343   83   -163    2.780   24   110583A
96.38   26.58   177   58    147   286   62     37   13.470   23   111683D
72.48   39.32   228   39     81    60   51     97    8.560   24   121683A
70.41   37.17   273   18     81   103   72     93    1.540   27   123083C
70.63   36.19    72   38     93   248   52     88    1.490   25   012784B
70.05   34.19   268   37    121    50   59     69    1.520   25   020184B
70.66   36.25   266   34    114    58   60     75    4.620   25   021684A
95.49   24.85   114   21    144   238   78     72    1.730   24   030584C
71.00   36.47   270   45    106    68   47     74    5.420   24   032284B
70.78   36.42   297   37    138    63   66     61    2.160   24   041984A
70.95   36.28   325   23     97   137   67     87    2.290   24   042384A
99.62   21.79    84   69     13   349   78    159    9.010   24   042384C
93.42   24.33   157   69    161   254   73     22   11.900   24   050684B
70.55   36.72   227   49     35   112   64    133    5.800   23   060284B
70.62   36.12   264   21    144    28   78     73    2.670   24   070184A
70.21   35.76   316   20    113   112   72     82    5.800   24   082284C
71.03   38.99    37   77      9   305   81    167    1.860   25   102684D
96.96   26.52   311   49     17   210   77    138    3.780   24   112884B
92.99   24.75   352   46    123   129   53     61    1.330   25   123084E
87.18   35.72   246   50      0   155   90    140    2.920   24   042185B
95.97   25.83   324   38     58   182   58    113    8.750   23   042485B
72.96   38.35   103   65    172   197   83     25    2.610   24   042785B
70.54   30.53   211   14     98    23   76     88    7.540   24   050685A
70.58   30.77   196   16     70    37   75     96    2.200   24   050885C
87.16   35.58   156   79    175   247   85     11    5.650   24   052085B
70.94   36.25   189   44     42    66   62    126    7.710   23   052885A
83.37   34.55    40   61    -30   145   64   -147    0.970   24   061585A
87.43   18.40    60   58      1   330   89    148    1.840   24   070185A
70.96   36.33    52   38     72   254   54    104    1.470   27   072985B
95.53   29.24   176   15    153   292   83     76    4.240   24   080185A
70.70   35.92   267   36    109    64   56     77    3.770   25   080285B
70.06   35.40    82   38     88   264   52     91    5.300   23   080385A
95.88   36.41   200   33    123   342   63     70    9.490   23   081185C
76.46   39.31   308   85    175    38   85      5    4.230   23   082385A
75.09   39.54   315   29    159    63   80     62    3.290   26   082385B
75.14   39.25    81   27     57   297   68    105    7.670   23   082985C
98.23   25.29    14   65    177   105   87     25    2.150   24   090585E
75.32   39.50    90   44     68   299   50    110    1.820   25   091185D
87.09   28.60   140   46   -163    38   78    -45    6.290   23   011086A
71.00   35.97   229   40    145   348   69     56    2.340   24   011486A
93.09   23.79   224   62    -15   321   77   -152    1.460   24   020886A
91.18   24.89   340   50    180    70   90     40   10.790   23   021986C
70.34   36.36   264   15     86    89   75     91    2.170   24   031186A
77.07   39.83    48   45     45   283   60    125    1.630   24   042586A
94.92   23.31    87   30    136   217   69     67    4.750   23   042686A
76.06   31.59   299   19     58   153   74    100    2.280   24   042686B
71.00   36.29   260   27    129    38   69     72    8.080   24   042686C
86.77   30.82    51   78     -4   142   86   -168    1.430   25   062086C
96.12   15.45   242   17    -78    50   74    -94    2.270   24   062986B
80.15   34.24   263   74    -15   357   76   -164   10.030   24   070686A
78.19   30.48   278   17     37   152   80    104    1.660   24   071686B
71.13   36.47   205   46      1   114   89    136    2.880   24   071786B
86.88   30.88    51   78      4   320   86    168    4.770   23   071986E
94.19   23.86   130   72     15    36   76    162    1.740   24   072686B
91.96   34.58   253   69    -18   350   73   -158    4.880   25   082086D
70.56   36.52   105   37    142   228   68     60    2.820   24   091586B
71.55   37.34   301   27      4   208   88    117    2.580   24   091786C
