#mecanisms Chen&Kao1996, psvelomeca Sa (Aki) -:
#lat    lon     str  dip   rake magni(1e18) latp lonp   info
26.76   86.62   246   20     22    12       26.76   86.62   20/08/88   (51km+/-5)
30.78   78.77   298    9     97   7.7       30.78   78.77   19/10/91   (16km)
18.06   76.42   118   35     92   1.4       18.06   76.42   29/09/93   (7km+/-1)
47.87   85.08   116   89   -157   4.4       47.87   85.08   14/06/90   (34km)
47.96   84.96   119   36    178   7.7       47.96   84.96   03/08/90   (33km)
