24.97   92.06    57   80     42   6   24.97   92.06   19/06/63   (52km)
25.13   92.09   238   88    -70   6   25.13   92.09   21/06/63   (38km)
29.96   80.46   310   23     90   6   29.96   80.46   26/09/64   (18km+/-4)
28.04   93.75   265    3     90   6   28.04   93.75   21/10/64   (15km+/-4)
27.40   87.84   270   15     90   6   27.40   87.84   12/01/65   (15km+/-4)
29.62   80.83   277   27     70   6   29.62   80.83   27/06/66   (15km+/-3)
28.67   78.93   132   31    -90   6   28.67   78.93   15/08/66   (20km)
29.62   80.79   290   24     90   6   29.62   80.79   16/12/66   (12km+/-4)
33.63   75.33   341   55    105   6   33.63   75.33   20/02/67   (10km+/-5)
28.41   94.29   273   10     90   6   28.41   94.29   14/03/67   (15km+/-3)
24.83   91.94   132   60    135   6   24.83   91.94   12/06/68   (41km)
26.42   90.62    90   60     90   6   26.42   90.62   18/08/68   (29km)
27.40   93.96   257    5     90   6   27.40   93.96   19/02 70   (10km)
26.41   93.15    79   60     46   6   26.41   93.15   17/07/71   (36km)
35.94   73.33   341   55    105   6   35.94   73.33   03/09/72   (12km+/-3)
27.73   86.11   275    2     90   6   28.03   86.11   24/03/74  -(16km+/-4)
35.06   72.91   354   47    102   6   35.06   72.91   28/12/74   (12km)
30.03   80.31   251   16     53   6   30.33   80.31   20/05/79  -(16km)
26.74   87.48    75   45    -83   6   26.34   87.48   19/06/79  -(20km)
29.34   81.21   279   29     94   6   29.34   81.21   29/07/80   (14km)
29.63   81.09   288   25     86   6   29.63   81.09   29/07/80   (18km)
32.96   75.75   265   14     45   6   32.96   75.75   23/08/80   (14km)
32.90   75.80   320    5     90   6   32.90   75.80   23/08/80   (13km)
27.40   88.80   214   71     12   6   27.70   88.80   19/11/80  -(42km)
35.68   73.60   138   42    104   6   35.68   73.60   12/09/81   (7km)
32.13   76.37   254   16     22   6   32.13   76.37   26/04/86   (13km)
30.48   78.19   305    8     90   6   30.48   78.19   16/07/86   (13km)
24.65   91.52   225   77      5   6   24.65   91.52   06/02/88   (31km)
27.18   86.61   137   89    113   6   27.48   86.61   20/08/88  -(35km)
