#Network   Station   Latitude   Longitude   Elevation   Sitename   StartTime   EndTime
XF NP030 27.750401 83.4963 283.0 NP030 2002-10-31T00:00:00 2005-12-31T23:59:59
XF NP035 27.809 83.522202 774.0 NP035 2003-12-30T00:00:00 2005-12-31T23:59:59
XF NP040 27.8713 83.536797 1364.0 NP040 2002-10-31T00:00:00 2005-12-31T23:59:59
XF NP050 27.9361 83.639503 752.0 NP050 2002-10-30T00:00:00 2005-12-31T23:59:59
XF NP060 27.997101 83.786903 707.0 NP060 2002-10-30T00:00:00 2005-12-31T23:59:59
XF NP070 28.0784 83.860603 897.0 NP070 2002-10-29T00:00:00 2005-12-31T23:59:59
XF NP071 28.082199 83.837097 821.0 NP071 2003-12-29T00:00:00 2005-12-31T23:59:59
XF NP075 28.148701 83.8741 1098.0 NP075 2003-12-29T00:00:00 2005-12-31T23:59:59
XF NP080 28.214701 84.002502 811.0 NP080 2002-11-02T00:00:00 2005-12-31T23:59:59
XF NP082 28.278601 83.937698 1241.0 NP082 2003-12-27T00:00:00 2005-12-31T23:59:59
XF NP085 28.3531 83.954803 1257.0 NP085 2003-12-27T00:00:00 2005-12-31T23:59:59
XF NP090 28.294201 83.594803 1038.0 NP090 2002-11-01T00:00:00 2005-12-31T23:59:59
XF NP100 28.7796 83.719101 2735.0 NP100 2002-11-10T00:00:00 2005-12-31T23:59:59
XF NPHAP 27.514999 86.584198 2488.0 NPHAP 2002-10-27T00:00:00 2005-12-31T23:59:59
XF NRUMJ 27.303801 86.548203 1319.0 NRUMJ 2002-11-28T00:00:00 2005-12-31T23:59:59
XF NSIND 27.210699 85.908798 465.0 NSIND 2002-11-03T00:00:00 2005-12-31T23:59:59
XF NSUKT 27.7057 85.761101 745.0 NSUKT 2002-10-24T00:00:00 2005-12-31T23:59:59
XF NTHAK 27.5996 85.556602 1551.0 NTHAK 2002-10-24T00:00:00 2005-12-31T23:59:59
XF NTUML 27.320801 87.195 360.0 NTUML 2002-11-08T00:00:00 2005-12-31T23:59:59
