#Network   Station   Latitude   Longitude   Elevation   Sitename   StartTime   EndTime
XF H0510 28.386299 85.348701 2698.0 H0510 2003-05-04T00:00:00 2005-12-31T23:59:59
XF H0520 28.408501 85.312798 2868.0 H0520 2003-05-05T00:00:00 2005-12-31T23:59:59
XF H0530 28.453699 85.244797 3035.0 H0530 2003-05-09T00:00:00 2005-12-31T23:59:59
XF H0540 28.492001 85.222397 3199.0 H0540 2003-05-07T00:00:00 2005-12-31T23:59:59
XF H0550 28.5168 85.216103 3334.0 H0550 2003-05-03T00:00:00 2005-12-31T23:59:59
XF H0560 28.562 85.246399 3612.0 H0560 2003-05-02T00:00:00 2005-12-31T23:59:59
XF H0570 28.594801 85.259804 3714.0 H0570 2003-05-02T00:00:00 2005-12-31T23:59:59
XF H0580 28.6318 85.269699 3739.0 H0580 2003-05-01T00:00:00 2005-12-31T23:59:59
XF H0590 28.6691 85.2808 3810.0 H0590 2003-05-01T00:00:00 2005-12-31T23:59:59
XF H0600 28.711201 85.280296 3887.0 H0600 2003-05-01T00:00:00 2005-12-31T23:59:59
XF H0610 28.7484 85.303703 3985.0 H0610 2003-04-30T00:00:00 2005-12-31T23:59:59
XF H0620 28.7859 85.295898 3989.0 H0620 2003-04-30T00:00:00 2005-12-31T23:59:59
XF H0630 28.819599 85.2939 4042.0 H0630 2003-04-30T00:00:00 2005-12-31T23:59:59
XF H0640 28.843 85.294502 4028.0 H0640 2003-04-27T00:00:00 2005-12-31T23:59:59
XF H0641 28.856199 85.2939 4106.0 H0641 2003-05-13T00:00:00 2005-12-31T23:59:59
XF H0650 28.8955 85.3274 4288.0 H0650 2003-05-04T00:00:00 2005-12-31T23:59:59
XF H0655 28.8953 85.382401 5113.0 H0655 2003-05-13T00:00:00 2005-12-31T23:59:59
XF H0660 28.916901 85.4189 4829.0 H0660 2003-04-29T00:00:00 2005-12-31T23:59:59
XF H0670 28.9431 85.438301 4728.0 H0670 2003-04-29T00:00:00 2005-12-31T23:59:59
XF H0680 28.983801 85.441002 4662.0 H0680 2003-04-29T00:00:00 2005-12-31T23:59:59
XF H0690 29.023399 85.455002 4701.0 H0690 2003-04-29T00:00:00 2005-12-31T23:59:59
XF H0700 29.055901 85.421501 4706.0 H0700 2003-05-10T00:00:00 2005-12-31T23:59:59
XF H0710 29.085899 85.375603 4731.0 H0710 2003-05-10T00:00:00 2005-12-31T23:59:59
XF H0720 29.1367 85.364304 4685.0 H0720 2003-05-10T00:00:00 2005-12-31T23:59:59
XF H0730 29.172001 85.3647 4708.0 H0730 2003-05-10T00:00:00 2005-12-31T23:59:59
XF H0740 29.2015 85.3564 4620.0 H0740 2003-05-11T00:00:00 2005-12-31T23:59:59
XF H0750 29.2348 85.314102 4659.0 H0750 2003-05-11T00:00:00 2005-12-31T23:59:59
XF H0760 29.271299 85.243103 4626.0 H0760 2003-05-11T00:00:00 2005-12-31T23:59:59
XF H0770 29.306999 85.243202 4470.0 H0770 2003-05-11T00:00:00 2005-12-31T23:59:59
XF H0780 29.3414 85.237198 4678.0 H0780 2004-06-14T00:00:00 2005-12-31T23:59:59
XF H0790 29.380301 85.227097 4764.0 H0790 2004-06-15T00:00:00 2005-12-31T23:59:59
XF H0800 29.412001 85.2313 4785.0 H0800 2004-06-16T00:00:00 2005-12-31T23:59:59
XF H0810 29.466999 85.2323 4891.0 H0810 2004-06-16T00:00:00 2005-12-31T23:59:59
XF H1000 29.2673 85.857697 4560.0 H1000 2004-11-11T00:00:00 2005-12-31T23:59:59
XF H1010 29.335501 85.836403 4753.0 H1010 2004-06-19T00:00:00 2005-12-31T23:59:59
XF H1020 29.413 85.7369 5039.0 H1020 2004-06-19T00:00:00 2005-12-31T23:59:59
XF H1030 29.483 85.7547 5012.0 H1030 2004-06-21T00:00:00 2005-12-31T23:59:59
XF H1040 29.561399 85.739799 5115.0 H1040 2004-06-21T00:00:00 2005-12-31T23:59:59
XF H1050 29.6387 85.724503 5219.0 H1050 2004-06-21T00:00:00 2005-12-31T23:59:59
XF H1060 29.7066 85.708199 5232.0 H1060 2004-06-22T00:00:00 2005-12-31T23:59:59
XF H1070 29.776699 85.763397 5261.0 H1070 2004-06-25T00:00:00 2005-12-31T23:59:59
XF H1071 29.770201 85.775002 5340.0 H1071 2004-11-28T00:00:00 2005-12-31T23:59:59
XF H1080 29.850201 85.7827 5403.0 H1080 2004-06-25T00:00:00 2005-12-31T23:59:59
XF H1090 29.922199 85.732903 5260.0 H1090 2004-06-20T00:00:00 2005-12-31T23:59:59
XF T0260 29.4491 86.684601 4613.0 T0260 2004-11-09T05:56:17 2004-12-31T23:59:59
XF T0340 29.688299 89.718498 4386.0 T0340 2004-07-08T06:31:27 2004-12-31T23:59:59
