#YEAR MO DY  HR MN SECONDS      LATITUDE  LONGITUDE    DEPTH
2001 11 12  07 31  9.299041    26.799625 89.117807    64.250000
2001 11 12  12 32 10.450681    27.706375 86.536850    10.750000
2001 11 12  17 26 26.547744    28.208125 85.697009    -6.000000
2001 11 13  10 07 23.198940    28.347625 87.531579    26.250000
2001 11 13  10 37 22.747511    28.313875 87.615592    3.000000
2001 11 13  11 18  9.713833    28.496125 87.294931    59.500000
2001 11 13  11 37 25.059604    29.225125 87.078802    -6.000000
2001 11 13  12 20 22.220320    28.356625 87.613484    12.000000
2001 11 13  14 36  9.160750    28.390375 87.470612    35.000000
2001 11 13  16 55 20.700693    27.436375 88.090804    -4.000000
2001 11 13  21 23  5.274345    27.652375 86.346322    11.500000
2001 11 13  22 52 49.081209    28.307125 87.963083    80.250000
2001 11 14  02 07  9.442733    29.276875 87.889053    -6.000000
2001 11 14  04 13 59.467261    28.365625 87.465272    26.500000
2001 11 14  04 24  3.869117    27.881875 86.956917    6.250000
2001 11 14  06 26 36.678423    28.336375 87.513575    10.750000
2001 11 14  09 16  0.297745    27.791875 87.973893    75.250000
2001 11 15  14 32 52.695580    27.287875 88.298806    18.750000
2001 11 15  14 46 48.135850    28.644625 87.052495    65.500000
2001 11 15  16 39  4.843363    28.372375 87.270988    0.000000
2001 11 15  21 35 58.969644    30.001375 87.878299    3.000000
2001 11 15  21 41 41.342935    27.857125 87.898431    80.750000
2001 11 16  00 48  5.707940    26.777125 86.218991    44.250000
2001 11 16  04 24 44.137547    27.362125 88.386148    12.500000
2001 11 16  09 53 35.804433    28.383625 87.155985    -3.000000
2001 11 16  19 09 56.528884    27.593875 86.379408    7.000000
2001 11 16  22 01 35.417948    27.686125 87.982627    -6.000000
2001 11 17  15 52 16.027926    28.392625 87.227655    -6.000000
2001 11 17  19 10 22.532170    27.917875 86.979986    0.000000
2001 11 17  21 13 32.592387    28.343125 87.868989    66.250000
2001 11 18  05 54  4.629299    28.113625 87.580339    -6.000000
2001 11 19  00 39 37.733997    27.951625 87.802862    71.750000
2001 11 19  14 16  9.117148    28.696375 87.391354    15.500000
2001 11 19  14 21 30.618517    28.784125 87.576942    3.000000
2001 11 19  14 52 19.192467    28.759375 87.571553    0.000000
2001 11 19  17 57 23.842316    26.945875 88.777928    52.000000
2001 11 20  10 12 42.176126    28.831375 87.443875    21.000000
2001 11 20  17 30 26.909206    27.112375 87.957257    25.750000
2001 11 20  18 04 10.919419    27.278875 88.389796    -6.000000
2001 11 20  23 33 48.766002    28.329625 87.436827    44.500000
2001 11 21  08 06 10.860895    27.965125 86.294930    0.000000
2001 11 21  23 05 15.187064    28.307125 87.766301    55.000000
2001 11 22  04 11 41.243913    27.699625 86.290348    14.750000
2001 11 22  14 01 52.730983    28.399375 87.214912    -6.000000
2001 11 22  14 35 36.260244    29.974375 87.950651    -6.000000
2001 11 22  18 54 18.859864    27.512875 86.752422    15.000000
2001 11 22  19 13 55.782819    28.372375 87.247973    8.250000
2001 11 24  05 57 22.212169    26.844625 86.274303    52.250000
2001 11 24  17 09 17.891875    27.839125 87.653928    90.250000
2001 11 25  12 31 58.066912    27.868375 86.066047    -4.750000
2001 11 26  11 55 26.823958    28.046125 87.837147    69.000000
2001 11 26  12 11 19.200152    27.679375 87.451516    3.000000
2001 11 26  12 39 54.965258    27.677125 87.431170    3.000000
2001 11 26  12 50 30.765032    27.668125 87.451418    3.000000
2001 11 26  13 23  1.869379    27.728875 87.497702    3.000000
2001 11 26  13 38 18.239217    27.672625 87.441294    3.000000
2001 11 26  13 50 23.611733    27.656875 87.405595    3.000000
2001 11 26  13 52 29.681785    27.645625 87.428362    3.000000
2001 11 26  18 47 21.161839    26.837875 86.143192    43.250000
2001 11 26  18 53 28.877188    27.692875 87.459256    1.750000
2001 11 26  19 17 33.438963    27.672625 87.456538    3.000000
2001 11 27  11 49 26.592522    28.345375 87.776983    63.750000
2001 11 27  13 12 48.887420    27.717625 86.524146    17.250000
2001 11 27  13 32 37.947973    28.358875 87.541916    24.750000
2001 11 27  13 36 20.536221    28.037125 85.066097    -6.000000
2001 11 27  15 17  9.461374    26.495875 88.585413    43.500000
2001 11 27  16 29 24.244655    27.697375 87.256001    0.000000
2001 11 28  04 49 29.418672    28.865125 86.681129    -6.000000
2001 11 28  19 04  5.908183    27.602875 86.422561    11.250000
2001 11 28  20 20 19.462454    28.606375 86.965157    68.750000
2001 11 29  16 07 12.239119    28.669375 87.091091    12.500000
2001 11 29  16 22 21.266913    28.280125 87.760870    71.500000
2001 11 29  17 12 17.888824    28.001125 87.818750    82.000000
2001 11 29  17 35 32.397978    28.628875 87.093426    67.500000
2001 11 29  19 34 14.215232    28.275625 86.480839    -3.000000
2001 11 30  03 28 43.540316    27.668125 87.413310    3.000000
2001 12 01  01 41 26.775150    28.671625 86.919286    62.750000
2001 12 01  04 28 14.262702    27.571375 87.366815    -3.000000
2001 12 01  21 40 33.451235    26.561125 88.581568    50.750000
2001 12 01  22 38 38.153001    28.426375 87.204860    0.000000
2001 12 02  06 57 56.740127    28.547875 84.362493    64.750000
2001 12 02  12 50 48.084983    28.435375 87.202362    0.000000
2001 12 02  13 21 11.415685    28.419625 87.204815    8.750000
2001 12 02  16 47 33.597113    26.772625 89.044100    30.750000
2001 12 02  17 55  6.829497    28.811125 87.340977    25.000000
2001 12 02  22 08  8.805305    27.303625 88.377557    30.000000
2001 12 02  22 41 12.941551    27.404875 88.341258    22.250000
2001 12 02  22 56  8.762273    27.332875 88.464166    0.000000
2001 12 02  23 05 51.575677    27.353125 88.330264    0.000000
2001 12 02  23 27 14.621029    27.389125 88.406881    18.000000
2001 12 03  00 00 47.309718    27.384625 88.508162    0.000000
2001 12 03  01 00 24.003961    27.274375 88.326434    31.000000
2001 12 03  06 01  1.628805    27.339625 88.438957    0.000000
2001 12 03  07 57 35.317813    26.448625 88.428749    81.500000
2001 12 03  09 22 12.097845    27.332875 88.337528    -6.000000
2001 12 03  14 46 27.090424    27.782875 86.198634    12.250000
2001 12 03  15 36 24.256304    26.997625 88.619889    36.000000
2001 12 03  16 31 43.503071    27.308125 88.402955    12.750000
2001 12 03  16 56 57.367222    27.200125 88.342924    39.500000
2001 12 04  01 50 38.641895    29.342125 88.086108    -6.000000
2001 12 04  14 03  5.642573    27.287875 88.354505    33.000000
2001 12 04  16 11 26.299424    27.528625 88.480339    0.000000
2001 12 04  19 48 54.965780    27.976375 87.092346    -0.250000
2001 12 04  19 53 45.451495    27.688375 86.338648    8.250000
2001 12 04  23 00 29.765876    27.528625 86.879322    13.000000
2001 12 05  03 38 21.387565    26.896375 86.347364    10.000000
2001 12 05  06 35 11.367012    27.278875 88.488526    0.000000
2001 12 05  11 19 34.313212    27.276625 88.572025    72.000000
2001 12 06  22 14 53.826841    28.410625 86.902900    57.000000
2001 12 07  01 03  0.151732    28.327375 87.170974    75.000000
2001 12 07  01 46 39.206207    28.743625 87.258314    18.000000
2001 12 07  06 21  1.317858    27.852625 87.916187    57.250000
2001 12 07  10 51 58.524053    27.969625 87.775056    -6.000000
2001 12 07  15 09 51.634991    28.345375 87.738635    48.250000
2001 12 07  16 22 52.171970    27.292375 88.324198    27.500000
2001 12 07  18 40 17.298137    27.422875 88.379580    0.000000
2001 12 07  18 44 36.914468    27.870625 86.363830    3.750000
2001 12 07  21 36 20.138341    28.066375 85.366589    14.750000
2001 12 07  21 52 14.405988    27.953875 85.207299    89.250000
2001 12 07  23 36 48.015544    27.681625 87.192372    18.000000
2001 12 09  19 33 32.890964    27.218125 89.195886    16.250000
2001 12 10  01 10 46.827639    29.852875 87.572718    -6.000000
2001 12 10  09 25 17.330871    27.326125 88.365275    -6.000000
2001 12 10  18 25  2.735257    27.044875 86.986302    39.750000
2001 12 11  11 40 11.440297    27.863875 87.939240    74.000000
2001 12 11  13 53  4.479709    27.499375 87.046636    0.000000
2001 12 11  15 17 36.160165    26.999875 86.708332    33.500000
2001 12 12  18 18 24.479407    26.984125 86.938066    43.000000
2001 12 12  22 24 24.022574    28.381375 87.240364    3.000000
2001 12 12  22 47 58.217844    26.441875 88.393456    34.250000
2001 12 13  00 06  0.461738    29.992375 87.937925    2.250000
2001 12 13  08 56 47.208813    28.498375 86.859711    72.000000
2001 12 13  15 04 30.774190    27.843625 86.312972    -6.000000
2001 12 13  19 26 59.751320    27.769375 87.993931    63.250000
2001 12 13  21 56 21.102578    28.091125 84.868992    3.000000
2001 12 13  22 09 33.573850    27.258625 87.870580    16.000000
2001 12 14  02 46 51.784798    27.602875 87.313745    30.500000
2001 12 14  11 03 17.817410    26.880625 86.513874    29.500000
2001 12 15  15 16 17.536662    27.863875 86.063520    -6.000000
2001 12 15  16 27 49.273525    28.849375 87.051010    2.250000
2001 12 15  17 32  0.600902    27.616375 87.367171    -6.000000
2001 12 15  19 12 55.953096    27.029125 87.569714    23.000000
2001 12 15  20 04  4.368830    29.940625 87.908614    -3.750000
2001 12 15  20 49 50.532465    27.807625 86.343559    14.750000
2001 12 15  21 50 10.167589    27.033625 86.647770    32.000000
2001 12 16  11 37 42.448985    29.870875 87.912818    -6.000000
2001 12 16  16 15 48.410477    26.941375 86.311968    -2.500000
2001 12 16  20 53 28.825928    27.818875 86.340999    -0.500000
2001 12 16  21 28  6.688164    26.939125 86.531548    37.000000
2001 12 16  21 54 19.105254    28.586125 87.700463    3.250000
2001 12 16  22 52 30.710936    28.696375 87.527302    37.000000
2001 12 17  00 02 35.482541    27.467875 86.014381    37.250000
2001 12 17  04 12  8.737710    28.579375 86.629391    69.000000
2001 12 17  18 32 16.916847    28.772875 86.711771    47.750000
2001 12 17  21 02 12.557302    28.514125 86.109508    -3.000000
2001 12 18  17 57 33.909908    27.800875 88.035061    67.000000
2001 12 18  23 05 22.213938    29.841625 87.972065    -6.000000
2001 12 18  23 08 32.103126    29.861875 87.834856    -6.000000
2001 12 18  23 10 58.775414    29.576125 87.440410    -6.000000
2001 12 18  23 17 46.691492    29.972125 87.890879    -3.250000
2001 12 19  16 00 33.391918    27.409375 86.848497    0.000000
2001 12 19  22 44 11.353754    29.974375 87.867534    4.250000
2001 12 20  03 55 24.800348    28.840375 85.943900    59.000000
2001 12 20  07 36 34.384061    26.925625 86.531545    42.000000
2001 12 20  16 39 33.717669    27.429625 88.508980    31.500000
2001 12 20  20 06 33.133948    28.322875 87.608018    24.750000
2001 12 20  22 38 36.295711    27.150625 88.931278    10.250000
2001 12 22  02 54 21.419173    26.966125 86.635059    31.250000
2001 12 22  14 46 12.462806    29.924875 87.918776    -6.000000
2001 12 23  02 16 14.722471    27.319375 88.215746    24.500000
2001 12 23  11 24 40.619789    28.523125 87.566582    31.500000
2001 12 23  14 31 27.593155    28.444375 87.499255    2.750000
2001 12 23  17 38 54.092376    28.460125 84.551098    -3.000000
2001 12 24  18 00 48.824160    29.967625 87.958344    -6.000000
2001 12 25  07 03  4.816625    28.073125 86.763927    19.000000
2001 12 25  13 58 35.424043    27.011125 86.700776    29.250000
2001 12 25  17 52 24.358148    27.733375 87.441819    10.250000
2001 12 25  18 47 27.530925    28.507375 87.607390    19.000000
2001 12 26  02 07 17.344871    27.551125 86.704292    18.000000
2001 12 26  12 19  2.583111    28.005625 85.377423    0.000000
2001 12 26  15 50 18.358336    27.562375 86.577411    14.750000
2001 12 26  23 00  2.744733    28.118125 84.350711    3.250000
2001 12 27  11 15 12.875669    26.428375 89.121884    -6.000000
2001 12 27  13 40 37.187966    28.262125 87.533305    0.000000
2001 12 27  18 48 36.395485    28.552375 87.523332    31.000000
2001 12 27  19 46  2.198161    28.340875 87.122487    57.750000
2001 12 27  22 45 33.566744    28.424125 86.874809    67.750000
2001 12 28  02 20 50.630925    28.367875 87.250499    73.750000
2001 12 28  05 20 20.321689    28.889875 86.945863    49.250000
2001 12 28  06 33 48.088673    28.511875 87.553665    30.250000
2001 12 28  13 17  4.425952    27.503875 87.482971    3.000000
2001 12 28  17 59 53.366297    28.307125 88.149642    75.000000
2001 12 28  20 04 46.676346    28.347625 87.125083    65.500000
2001 12 28  22 23 38.352044    28.957375 86.758434    36.500000
2001 12 29  01 29 49.562194    28.536625 87.548791    28.250000
2001 12 29  02 13 46.511928    28.363375 86.999885    41.750000
2001 12 29  02 17 42.157025    29.895625 87.850880    -6.000000
2001 12 29  02 25 14.024391    28.698625 87.535019    25.500000
2001 12 29  15 13 32.164805    28.651375 87.611471    14.750000
2001 12 30  05 11 11.031219    28.572625 85.002496    3.000000
2001 12 30  13 27 28.989861    28.525375 85.635704    0.000000
2001 12 30  17 15  6.577966    27.580375 86.651039    14.500000
2001 12 30  17 20  2.530352    28.624375 87.459951    54.000000
2001 12 30  17 32 18.464478    27.283375 88.521518    9.000000
2001 12 30  23 22 44.590959    27.895375 85.808811    13.250000
2001 12 31  13 19 40.247157    27.746875 87.988537    72.000000
2001 12 31  18 24  0.802039    27.238375 87.597024    14.000000
2001 12 31  19 22 47.105683    28.068625 87.105603    15.500000
2002 01 01  10 05 58.252413    29.499625 87.442284    1.250000
2002 01 01  15 24 17.101265    28.003375 87.925809    69.250000
2002 01 01  15 41  9.571782    29.360125 87.425501    2.750000
2002 01 01  17 41 39.861948    28.768375 86.260003    0.000000
2002 01 01  17 55  3.353347    27.852625 87.895829    75.000000
2002 01 01  18 30 38.380274    28.487125 87.637897    11.750000
2002 01 01  20 20 29.860248    27.467875 86.914615    1.250000
